NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
111220,LOXS,SCHWAZ (HELIPORT),OS,4720N,01142E,543.0,47.333333333333336,11.7
111260,,PATSCHERKOFEL MTN,OS,4713N,01128E,2247.0,47.21666666666667,11.466666666666667
111270,,OBERGURGL,OS,4652N,01102E,1937.0,46.86666666666667,11.033333333333333
111280,,BRENNER PASS,OS,4700N,01131E,1450.0,47.0,11.516666666666667
111300,,KUFSTEIN,OS,4735N,01210E,508.0,47.583333333333336,12.166666666666666
111320,LOIJ,ST. JOHANN AIRPORT,OS,4731N,01227E,674.0,47.516666666666666,12.45
111340,,GERLOS (STREAM),OS,4713N,01202E,1250.0,47.21666666666667,12.033333333333333
111350,,HAHNENKAMM MOUNTAIN,OS,4725N,01222E,1760.0,47.416666666666664,12.366666666666667
111360,,KRIMML,OS,4714N,01211E,1000.0,47.233333333333334,12.183333333333334
111380,,ALPINZENTRUM RUDOLF,OS,4708N,01237E,2309.0,47.13333333333333,12.616666666666667
111400,,UNKEN,OS,4740N,01245E,545.0,47.666666666666664,12.75
111410,,BISCHOFSHOFEN,OS,4724N,01313E,550.0,47.4,13.216666666666667
111430,LOWZ,ZELL AM SEE AIRPORT,OS,4718N,01247E,754.0,47.3,12.783333333333333
111440,,ZELL AM SEE (AUT),OS,4720N,01248E,763.0,47.333333333333336,12.8
111450,,BAD GASTEIN,OS,4707N,01308E,1100.0,47.11666666666667,13.133333333333333
111460,,SONNBLICK MOUNTAIN,OS,4703N,01257E,3107.0,47.05,12.95
111470,,RADSTADT,OS,4723N,01327E,845.0,47.38333333333333,13.45
111480,,ST. MICHAEL/LUNGAU,OS,4706N,01339E,1094.0,47.1,13.65
111490,,OBERTAUERN (AUT),OS,4716N,01334E,1742.0,47.266666666666666,13.566666666666666
111500,LOWS,SALZBURG AIRPORT,OS,4748N,01300E,450.0,47.8,13.0
111510,,SEEWALCHEN/ATTERSEE,OS,4757N,01336E,496.0,47.95,13.6
111520,,MATTSEE (AUT),OS,4758N,01306E,502.0,47.96666666666667,13.1
111530,,MONDSEE,OS,4751N,01322E,491.0,47.85,13.366666666666667
111540,,GMUNDEN (AUT),OS,4754N,01347E,427.0,47.9,13.783333333333333
111550,,FEUERKOGEL (PEAK),OS,4749N,01344E,1621.0,47.81666666666667,13.733333333333333
111560,,BAD ISCHL,OS,4743N,01338E,470.0,47.71666666666667,13.633333333333333
111570,LOXA,AIGEN/ENNSTAL (MIL),OS,4732N,01408E,649.0,47.53333333333333,14.133333333333333
111600,,HIEFLAU,OS,4736N,01445E,492.0,47.6,14.75
111630,,STOLZALPE (MOUNT),OS,4707N,01412E,1305.0,47.11666666666667,14.2
111650,LOXZ,ZELTWEG (MIL),OS,4712N,01445E,682.0,47.2,14.75
111700,,LUNZ,OS,4751N,01500E,615.0,47.85,15.0
111710,,MARIAZELL/ST SEBAST,OS,4748N,01518E,872.0,47.8,15.3
111720,,MARIAZELL,OS,4746N,01519E,875.0,47.766666666666666,15.316666666666666
111740,,ST. MICHAEL/LEOBEN,OS,4720N,01505E,580.0,47.333333333333336,15.083333333333334
111750,,BRUCK/MUR,OS,4725N,01516E,482.0,47.416666666666664,15.266666666666667
111800,,RAX/SEILBAHN-BERGST,OS,4743N,01547E,1546.0,47.71666666666667,15.783333333333333
111810,LOAV,VOSLAU AIRPORT,OS,4758N,01616E,233.0,47.96666666666667,16.266666666666666
111820,,WEINER NEUSTADT,OS,4750N,01613E,284.0,47.833333333333336,16.216666666666665
111830,,SEMMERING PASS,OS,4738N,01549E,960.0,47.63333333333333,15.816666666666666
111850,,MOENICHKIRCHEN,OS,4731N,01602E,1000.0,47.516666666666666,16.033333333333335
111860,,WECHSEL/SUD-SPARBER,OS,4726N,01607E,730.0,47.43333333333333,16.116666666666667
111900,,EISENSTADT,OS,4751N,01632E,190.0,47.85,16.533333333333335
111920,,KLEINZICKEN,OS,4713N,01620E,267.0,47.21666666666667,16.333333333333332
111940,,NEUSIEDL AM SEE,OS,4757N,01652E,129.0,47.95,16.866666666666667
111950,,PUNITZ/GUESSING,OS,4709N,01619E,290.0,47.15,16.316666666666666
112020,,FELBERTAUERN/SUDPOR,OS,4707N,01230E,1632.0,47.11666666666667,12.5
112040,,LIENZ,OS,4650N,01248E,665.0,46.833333333333336,12.8
112070,,REISACH,OS,4639N,01309E,646.0,46.65,13.15
112100,,MALLNITZ,OS,4659N,01311E,1185.0,46.983333333333334,13.183333333333334
112110,,RADENTHEIN,OS,4647N,01342E,685.0,46.78333333333333,13.7
112120,,VILLACHERALPE MTN,OS,4636N,01340E,2160.0,46.6,13.666666666666666
112130,,VILLACH,OS,4637N,01352E,495.0,46.61666666666667,13.866666666666667
112140,,PREITENEGG,OS,4656N,01455E,1055.0,46.93333333333333,14.916666666666666
