NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV
718980,YPR,PRINCE RUPERT ARPT,CN,5418N,13026W,34
718990,WJU,LANGARA,CN,5415N,13303W,41
719000,WHO,HOPEDALE (MAPS),CN,5527N,06014W,8
719010,WTB,BORDER (MAPS),CN,5520N,06313W,479
719020,YDP,NAIN AIRPORT,CN,5633N,06141W,7
719023,WFP,NAIN,CN,5633N,06142W,7
719040,YHA,QUAQTAQ AIRPORT,CN,6103N,06938W,30
719043,YAS,KANGIRSUK (SAWR),CN,6001N,07000W,117
719044,YKG,KANGIQSUJUAQ(SAWR)&,CN,6135N,07156W,151
719045,YLA,APALUK,CN,5918N,06936W,35
719050,YGW,KUUJJUARAPIK ARPT,CN,5517N,07746W,12
719053,YMU,UMIUJAQ,CN,5632N,07631W,71
719060,YVP,KUUJJUAQ AIRPORT,CN,5806N,06825W,37
719063,YKB,KANGIQSUALUJJUAQ,CN,5843N,06600W,58
719064,YTQ,TASIUJAQ A,CN,5840N,06957W,31
719065,YLU,KANGIKSUALUJJUAQ A,CN,5843N,06559W,60
719070,WPH,INUKJUAK,CN,5827N,07807W,253
719073,YPH,INUKJUAK ARPT(SAWR),CN,5828N,07805W,25
719074,YIK,IVUJIVIK ARPT(SAWR),CN,6225N,07757W,42
719075,YZG,SALLIUT ARPT (SAWR),CN,6211N,07540W,226
719076,YKO,AKULIVIK AIRPORT,CN,6049N,07809W,9
719077,YPX,POVUNGNITUQ,CN,6003N,07717W,23
719090,YFB,FROBISHER/IQALUIT,CN,6345N,06832W,34
719094,YLC,LAKE HARBOUR ARPT,CN,6251N,06953W,53
719100,YTE,CAPE DORSET AIRPORT,CN,6413N,07632W,47
719104,YSK,SANIKILUAQ AIRPORT,CN,5632N,07915W,32
719110,YUS,SHEPHERD BAY ARPT,CN,6849N,09326W,42
719120,YGX,GILLAM AIRPORT,CN,5621N,09442W,145
719123,WGX,GILLAM (AUTOB),CN,5622N,09442W,145
719130,YYQ,CHURCHILL AIRPORT,CN,5845N,09404W,29
719143,YSR,NANISIVIK AIRPORT &,CN,7259N,08438W,649
719145,YYH,SPENCE BAY AIRPORT&,CN,6933N,09335W,28
719150,YZS,CORAL HARBOUR ARPT,CN,6412N,08322W,64
719155,WHK,CARVEL RADAR,CN,5334N,11409W,
719156,YHK,GJOA HAVEN AIRPORT,CN,6838N,09551W,46
719164,YCS,CHESTERFIELD INLET,CN,6320N,09043W,11
719165,WPT,YANKEE (AUT),CN,8042N,08100W,1053
719170,WEU,EUREKA,CN,7959N,08556W,10
719174,YEU,EUREKA (MAN),CN,8000N,08549W,78
719175,WJE,SKULL POINT (AUT),CN,8000N,08626W,37
719176,WKU,WHISKEY (AUT),CN,8102N,07657W,829
719180,WRF,PELLY BAY 1,CN,6926N,08944W,325
719190,WKE,PELLY BAY,CN,6826N,08943W,326
719194,YBB,PELLY BAY AIRPORT,CN,6832N,08949W,15
719195,WWM,GRANT (AUTO8),CN,8230N,06505W,1242
719200,WFN,CREE LAKE (MAPS),CN,5721N,10708W,495
719220,YVC,LA RONGE AIRPORT,CN,5509N,10516W,379
719230,WJC,ENNADAI LAKE (MAPS),CN,6108N,10054W,357
719240,YRB,RESOLUTE AIRPORT,CN,7443N,09459W,67
719246,WGZ,GRISE FIORD AIRPORT,CN,7625N,08254W,45
719248,WCN,MALLOCH DOME(AUTO8),CN,7813N,10103W,12
719249,WQN,BLACK TOP RIDGE AUT,CN,8000N,08525W,619
719250,YCB,CAMBRIDGE BAY ARPT,CN,6906N,10507W,27
719260,YBK,BAKER LAKE AIRPORT,CN,6418N,09605W,18
719264,YEK,ARVIAT AIRPORT,CN,6106N,09404W,10
719270,YUR,GLADMAN POINT ARPT,CN,6840N,09748W,14
719280,YRM,ROCKY MTN HOUSE,CN,5226N,11455W,989
719284,WRM,ROCKY HOUSE (MARS),CN,5226N,11456W,988
719290,YUK,BYRON BAY AIRPORT,CN,6845N,10904W,92
719300,YZU,WHITECOURT AIRPORT,CN,5409N,11547W,782
719310,WLB,LAC LA BICHE (MARS),CN,5446N,11201W,567
719320,YMM,FORT MCMURRAY ARPT,CN,5639N,11113W,369
719330,YPY,FORT CHIPEWYAN ARPT,CN,5846N,11107W,232
719334,WPY,FORT CHIPEWYAN(AUT),CN,5846N,11108W,232
719340,YSM,FORT SMITH AIRPORT,CN,6001N,11157W,203
719350,YHY,HAY RIVER AIRPORT,CN,6050N,11547W,166
719360,YZF,YELLOWKNIFE AIRPORT,CN,6228N,11427W,206
719365,WNG,MOUNT ARTHUR (AUT),CN,8120N,07446W,1336
719370,YUJ,LADY FRANKLIN POINT,CN,6830N,11313W,16
719380,YCO,COPPERMINE AIRPORT,CN,6749N,11509W,22
719390,YUI,CAPE YOUNG AIRPORT,CN,6856N,11655W,16
719400,YQU,GRANDE PRAIRE ARPT,CN,5511N,11853W,669
719403,YCQ,CHETWYND AIRPORT,CN,5542N,12138W,609
719430,YXJ,FORT ST. JOHN ARPT,CN,5614N,12044W,695
719440,YZY,MACKENZIE AIRPORT,CN,5518N,12308W,690
719445,WWU,INGENIKA POINT,CN,5648N,12454W,680
719446,WIO,ISKUT RIVER(AUTO),CN,5644N,13140W,15
719450,YYE,FORT NELSON AIRPORT,CN,5850N,12235W,382
719458,YJF,FORT LIARD AIRPORT,CN,6014N,12329W,215
719460,YFS,FORT SIMPSON ARPT,CN,6145N,12114W,169
719465,YWY,WRIGLEY AIRPORT,CN,6313N,12326W,150
719468,YWJ,FORT FRANKLIN ARPT,CN,6512N,12326W,176
719480,ZUE,CAPE PARRY AIRPORT,CN,7010N,12441W,17
719485,YPC,PAULATUK AIRPORT,CN,6921N,12402W,6
719490,WUM,FARO (MARS),CN,6214N,13321W,717
719493,ZFA,FARO AIRPORT,CN,6212N,13322W,717
719494,YHI,HOLMAN ISLAND ARPT,CN,7046N,11748W,36
719500,YYD,SMITHERS AIRPORT,CN,5449N,12711W,523
719510,YXT,TERRACE AIRPORT,CN,5428N,12835W,217
719520,YPZ,BURNS LAKE        &,CN,5423N,12557W,713
719523,WLC,LUCY ISL (LGT-H),CN,5418N,13036W,27
719525,WPZ,BURNS LAKE,CN,5414N,12546W,704
719530,YQH,WATSON LAKE AIRPORT,CN,6007N,12849W,690
719540,YUB,TUKTOYAKTUK       &,CN,6927N,13301W,5
719550,ZST,STEWART AIRPORT,CN,5556N,12959W,7
719560,WRP,NICHOLSON PENINSUL&,CN,6956N,12858W,89
719570,YEV,INUVIK AIRPORT,CN,6818N,13329W,68
719574,ZFM,FORT MCPHERSON ARPT,CN,6724N,13451W,43
719575,YKD,AKLAVIK AIRPORT,CN,6813N,13500W,7
719576,ZFN,FORT NORMAN AIRPORT,CN,6455N,12534W,98
719580,WDL,DEASE LAKE,CN,5825N,13001W,816
719596,WNI,NIPTERK BASE,CN,6937N,13520W,10
719600,WLI,LIVERPOOL BAY,CN,6936N,13054W,102
719630,WQY,HANBURY RIVER(AUT),CN,6335N,10509W,317
719640,YXY,WHITEHORSE AIRPORT,CN,6043N,13504W,703
719645,YDM,ROSS RIVER AIRPORT,CN,6158N,13226W,705
719650,YMA,MAYO AIRPORT,CN,6337N,13552W,504
719660,YDA,DAWSON AIRPORT,CN,6403N,13908W,369
719664,WON,DAWSON (AUTO8),CN,6403N,13909W,370
719665,YOC,OLD CROW AIRPORT,CN,6734N,13949W,251
719670,WDB,BURWASH (AUTO8),CN,6122N,13903W,806
719674,YDB,BURWASH AIRPORT,CN,6122N,13902W,807
719675,YXQ,BEAVER CREEK ARPT,CN,6225N,14052W,649
719680,YUA,SHINGLE POINT ARPT,CN,6857N,13713W,38
719690,YAJ,KOMAKUK BEACH ARPT,CN,6935N,14011W,7
719750,WYM,CAPE MERCY,CN,6457N,06335W,583
719760,WNO,SATAH RIVER AUTO8,CN,6652N,13412W,97
